Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,
05/18/2024,61,Ozone,Lake Rockwell,39-133-1001,AQS,61,12,47,,
05/19/2023,54,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,54,.,49,
05/19/2024,100,Ozone,North HS,39-153-0026,AQS,100,17,54,,
05/20/2023,42,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,42,.,28,
05/20/2024,90,Ozone,Lake Rockwell,39-133-1001,AQS,90,19,48,,
05/21/2023,56,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,35,10,56,
05/21/2024,77,Ozone,Lake Rockwell,39-133-1001,AQS,77,18,53,,
05/22/2023,42,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,42,.,24,
05/22/2024,44,PM2.5,East HS,39-153-0017,AQS,44,17,44,,
05/23/2023,55,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,48,.,55,
05/23/2024,74,Ozone,Lake Rockwell,39-133-1001,AQS,74,17,33,,
05/24/2023,43,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,37,10,43,
05/24/2024,105,Ozone,Lake Rockwell,39-133-1001,AQS,105,19,52,,
05/25/2023,35,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,35,.,22,
05/25/2024,64,Ozone,North HS,39-153-0026,AQS,64,15,42,,
05/26/2023,43,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,43,.,29,
05/26/2024,48,Ozone,Lake Rockwell,39-133-1001,AQS,48,14,42,,
05/27/2023,43,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,43,6,38,
05/27/2024,44,Ozone,Lake Rockwell,39-133-1001,AQS,44,10,26,,
05/28/2023,54,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,54,.,49,
05/28/2024,44,Ozone,Lake Rockwell,39-133-1001,AQS,44,7,21,,
05/29/2023,47,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,47,.,42,
05/29/2024,34,Ozone,Lake Rockwell,39-133-1001,AQS,34,9,27,,
05/30/2023,54,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,54,11,41,
05/30/2024,45,Ozone,Lake Rockwell,39-133-1001,AQS,45,9,28,,
05/31/2023,80,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,80,.,62,
05/31/2024,87,Ozone,Lake Rockwell,39-133-1001,AQS,87,16,51,,
06/13/2023,51,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,51,.,51,
06/13/2024,90,Ozone,Lake Rockwell,39-133-1001,AQS,90,20,39,,
06/14/2023,41,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,39,8,41,
06/14/2024,54,Ozone,Lake Rockwell,39-133-1001,AQS,54,18,39,,
06/15/2023,41,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,40,.,41,
06/15/2024,37,Ozone,Lake Rockwell,39-133-1001,AQS,37,9,27,,
06/16/2023,63,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,1,41,.,63,
06/16/2024,61,Ozone,Lake Rockwell,39-133-1001,AQS,61,15,43,,
06/17/2023,61,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,29,6,61,
06/17/2024,58,PM2.5,East HS,39-153-0017,AQS,46,22,58,,
06/18/2023,23,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,18,.,23,
06/18/2024,55,PM2.5,East HS,39-153-0017,AQS,45,19,55,,
06/19/2023,31,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,31,.,25,
06/19/2024,58,PM2.5,East HS,39-153-0017,AQS,50,22,58,,
06/20/2023,31,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,31,6,30,
06/20/2024,71,Ozone,North HS,39-153-0026,AQS,71,24,64,,
06/21/2023,32,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,32,.,32,
06/21/2024,108,Ozone,Lake Rockwell,39-133-1001,AQS,108,25,62,,
06/22/2023,42,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,42,.,27,
06/22/2024,93,Ozone,North HS,39-153-0026,AQS,93,25,62,,
06/23/2023,41,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,41,6,27,
06/23/2024,44,PM2.5,East HS,39-153-0017,AQS,44,12,44,,
06/24/2023,23,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,23,.,18,
06/24/2024,43,Ozone,North HS,39-153-0026,AQS,43,14,42,,
06/25/2023,160,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,8,32,.,160,
06/25/2024,50,Ozone,Lake Rockwell,39-133-1001,AQS,50,16,46,,
06/26/2023,135,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,7,39,17,135,
06/26/2024,39,Ozone,Lake Rockwell,39-133-1001,AQS,39,12,34,,
06/27/2023,45,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,45,.,23,
06/27/2024,39,Ozone,North HS,39-153-0026,AQS,39,9,26,,
06/28/2023,44,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,44,.,36,
06/28/2024,64,Ozone,North HS,39-153-0026,AQS,64,12,36,,
06/29/2023,62,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,12,15,62,
06/29/2024,56,PM2.5,East HS,39-153-0017,AQS,38,13,56,,
06/30/2023,79,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,2,51,.,79,
06/30/2024,32,Ozone,Lake Rockwell,39-133-1001,AQS,32,8,29,,
07/13/2023,54,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,54,.,49,
07/13/2024,90,Ozone,North HS,39-153-0026,AQS,90,15,52,,
07/14/2023,37,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,37,6,29,
07/14/2024,56,PM2.5,East HS,39-153-0017,AQS,51,16,56,,
07/15/2023,39,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,39,.,32,
07/15/2024,71,Ozone,North HS,39-153-0026,AQS,71,14,37,,
07/16/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,28,
07/16/2024,74,Ozone,North HS,39-153-0026,AQS,74,14,37,,
07/17/2023,93,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,48,31,93,
07/17/2024,50,PM2.5,East HS,39-153-0017,AQS,44,16,50,,
07/18/2023,115,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,44,.,115,
07/18/2024,35,Ozone,North HS,39-153-0026,AQS,35,10,33,,
07/19/2023,64,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,31,.,64,
07/19/2024,47,Ozone,North HS,39-153-0026,AQS,47,10,26,,
07/20/2023,35,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,35,6,34,
07/20/2024,93,Ozone,North HS,39-153-0026,AQS,93,13,47,,
07/21/2023,44,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,42,.,44,
07/21/2024,93,Ozone,North HS,39-153-0026,AQS,93,17,56,,
07/22/2023,31,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,30,.,31,
07/22/2024,54,PM2.5,East HS,39-153-0017,AQS,47,19,54,,
07/23/2023,48,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,30,9,48,
07/23/2024,64,Ozone,North HS,39-153-0026,AQS,64,19,57,,
07/24/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,42,.,53,
07/24/2024,52,PM2.5,East HS,39-153-0017,AQS,48,16,52,,
07/25/2023,50,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,50,.,49,
07/25/2024,50,PM2.5,East HS,39-153-0017,AQS,40,14,50,,
07/26/2023,68,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,46,20,68,
07/26/2024,44,Ozone,North HS,39-153-0026,AQS,44,12,35,,
07/27/2023,58,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,44,.,58,
07/27/2024,77,Ozone,North HS,39-153-0026,AQS,77,16,52,,
07/28/2023,56,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,35,.,56,
07/28/2024,90,Ozone,North HS,39-153-0026,AQS,90,19,57,,
07/29/2023,41,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,25,8,41,
07/29/2024,52,PM2.5,East HS,39-153-0017,AQS,33,16,52,,
07/30/2023,25,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,25,.,24,
07/30/2024,42,Ozone,North HS,39-153-0026,AQS,42,11,33,,
07/31/2023,28,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,25,.,28,
07/31/2024,80,Ozone,North HS,39-153-0026,AQS,80,17,52,,
08/13/2023,35,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,35,6,24,
08/13/2024,47,PM2.5,East HS,39-153-0017,AQS,42,15,47,,
08/14/2023,31,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,27,.,31,
08/14/2024,62,PM2.5,East HS,39-153-0017,AQS,46,25,62,,
08/15/2023,36,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,26,.,36,
08/15/2024,71,Ozone,North HS,39-153-0026,AQS,71,29,63,,
08/16/2023,23,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,21,6,23,
08/16/2024,56,PM2.5,East HS,39-153-0017,AQS,44,20,56,,
08/17/2023,36,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,36,.,32,
08/17/2024,48,PM2.5,East HS,39-153-0017,AQS,45,15,48,,
08/18/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,34,.,26,
08/18/2024,38,Ozone,North HS,39-153-0026,AQS,38,9,31,,
08/19/2023,26,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,21,4,26,
08/19/2024,35,PM2.5,East HS,39-153-0017,AQS,29,11,35,,
08/20/2023,71,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,34,.,71,
08/20/2024,35,Ozone,North HS,39-153-0026,AQS,35,7,23,,
08/21/2023,60,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,28,.,60,
08/21/2024,36,PM2.5,East HS,39-153-0017,AQS,35,13,36,,
08/22/2023,48,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,31,10,48,
08/22/2024,46,PM2.5,East HS,39-153-0017,AQS,44,15,46,,
08/23/2023,38,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,33,.,38,
08/23/2024,77,Ozone,North HS,39-153-0026,AQS,77,18,50,,
08/24/2023,37,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,37,.,34,
08/24/2024,97,Ozone,North HS,39-153-0026,AQS,97,23,57,,
08/25/2023,29,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,29,3,29,
08/25/2024,69,PM2.5,East HS,39-153-0017,AQS,50,22,69,,
08/26/2023,31,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,19,.,31,
08/26/2024,84,Ozone,Lake Rockwell,39-133-1001,AQS,84,23,59,,
08/27/2023,43,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,16,.,43,
08/27/2024,93,Ozone,North HS,39-153-0026,AQS,93,24,58,,
08/28/2023,44,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,33,9,44,
08/28/2024,67,Ozone,North HS,39-153-0026,AQS,67,15,41,,
08/29/2023,47,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,30,.,47,
08/29/2024,44,Ozone,North HS,39-153-0026,AQS,44,10,38,,
08/30/2023,35,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,35,.,32,
08/30/2024,51,Ozone,Lake Rockwell,39-133-1001,AQS,51,16,37,,
08/31/2023,32,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,32,6,23,
08/31/2024,51,PM2.5,East HS,39-153-0017,AQS,41,13,51,,
09/13/2023,31,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,31,.,24,
09/13/2024,61,Ozone,Lake Rockwell,39-133-1001,AQS,61,15,40,,
09/14/2023,23,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,23,.,18,
09/14/2024,49,Ozone,North HS,39-153-0026,AQS,49,13,38,,
09/15/2023,35,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,26,6,35,
09/15/2024,64,Ozone,North HS,39-153-0026,AQS,64,16,52,,
09/16/2023,42,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,27,.,42,
09/16/2024,48,Ozone,North HS,39-153-0026,AQS,48,16,41,,
09/17/2023,33,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,29,.,33,
09/17/2024,43,Ozone,North HS,39-153-0026,AQS,43,16,32,,
09/18/2023,32,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,32,4,28,
09/18/2024,42,Ozone,Lake Rockwell,39-133-1001,AQS,42,14,34,,
09/19/2023,26,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,26,.,23,
09/19/2024,43,Ozone,North HS,39-153-0026,AQS,43,10,28,,
09/20/2023,29,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,29,.,24,
09/20/2024,51,Ozone,North HS,39-153-0026,AQS,51,21,46,,
09/21/2023,27,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,26,5,27,
09/21/2024,87,Ozone,North HS,39-153-0026,AQS,87,19,55,,
09/22/2023,36,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,26,.,36,
09/22/2024,61,Ozone,North HS,39-153-0026,AQS,61,25,56,,
09/23/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,22,.,53,
09/23/2024,33,PM2.5,East HS,39-153-0017,AQS,30,10,33,,
09/24/2023,65,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,26,15,65,
09/24/2024,34,PM2.5,East HS,39-153-0017,AQS,30,10,34,,
09/25/2023,65,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,26,.,65,
09/25/2024,32,PM2.5,East HS,39-153-0017,AQS,28,12,32,,
09/26/2023,57,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,23,.,57,
09/26/2024,33,Ozone,Lake Rockwell,39-133-1001,AQS,33,9,26,,
09/27/2023,40,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,23,7,40,
09/27/2024,26,PM2.5,East HS,39-153-0017,AQS,23,10,26,,
09/28/2023,64,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,31,.,64,
09/28/2024,28,Ozone,North HS,39-153-0026,AQS,28,9,23,,
09/29/2023,82,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,27,.,82,
09/29/2024,21,Ozone,Lake Rockwell,39-133-1001,AQS,21,7,19,,
09/30/2023,78,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,1,38,19,78,
09/30/2024,21,PM2.5,East HS,39-153-0017,AQS,19,8,21,,
10/13/2023,23,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,23,.,22,
10/13/2024,53,PM2.5,East HS,39-153-0017,AQS,32,20,53,,
10/14/2023,23,PM2.5,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,21,.,23,
10/14/2024,27,Ozone,Lake Rockwell,39-133-1001,AQS,27,5,13,,
10/15/2023,19,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,19,3,17,
10/15/2024,25,Ozone,Lake Rockwell,39-133-1001,AQS,25,3,12,,
10/16/2023,19,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,19,.,19,
10/16/2024,24,Ozone,Lake Rockwell,39-133-1001,AQS,24,4,12,,
10/17/2023,29,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,17,.,29,
10/17/2024,32,PM2.5,East HS,39-153-0017,AQS,31,11,32,,
10/18/2023,30,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,30,4,24,
10/18/2024,56,PM2.5,East HS,39-153-0017,AQS,39,19,56,,
10/19/2023,35,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,35,.,27,
10/19/2024,65,PM2.5,East HS,39-153-0017,AQS,42,23,65,,
10/20/2023,35,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,35,.,25,
10/20/2024,70,PM2.5,East HS,39-153-0017,AQS,51,29,70,,
10/21/2023,37,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,37,2,14,
10/21/2024,54,Ozone,Lake Rockwell,39-133-1001,AQS,54,25,53,,
10/22/2023,17,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,17,.,7,
10/22/2024,58,Ozone,Lake Rockwell,39-133-1001,AQS,58,25,53,,
10/23/2023,19,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,19,.,12,
10/23/2024,48,Ozone,Lake Rockwell,39-133-1001,AQS,48,21,46,,
10/24/2023,31,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,31,3,20,
10/24/2024,29,Ozone,Lake Rockwell,39-133-1001,AQS,29,7,18,,
10/25/2023,39,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,39,.,35,
10/25/2024,35,Ozone,Lake Rockwell,39-133-1001,AQS,35,14,34,,
10/26/2023,52,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,41,.,52,
10/26/2024,47,PM2.5,East HS,39-153-0017,AQS,37,12,47,,
10/27/2023,54,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,40,13,54,
10/27/2024,57,PM2.5,East HS,39-153-0017,AQS,34,15,57,,
10/28/2023,33,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,33,.,28,
10/28/2024,52,PM2.5,East HS,39-153-0017,AQS,39,22,52,,
10/29/2023,19,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,19,.,15,
10/29/2024,56,PM2.5,East HS,39-153-0017,AQS,43,21,56,,
10/30/2023,25,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,25,2,17,
10/30/2024,58,PM2.5,East HS,39-153-0017,AQS,44,21,58,,
10/31/2023,28,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,28,.,20,
10/31/2024,36,Ozone,Lake Rockwell,39-133-1001,AQS,36,16,31,,
11/13/2023,39,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,31,.,39,
11/13/2024,17,PM2.5,East HS,39-153-0017,AQS,.,7,17,,
11/14/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,25,6,53,
11/14/2024,26,PM2.5,East HS,39-153-0017,AQS,.,7,26,,
11/15/2023,39,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,28,.,39,
11/15/2024,44,PM2.5,East HS,39-153-0017,AQS,.,10,44,,
11/16/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,44,.,53,
11/16/2024,31,PM2.5,East HS,39-153-0017,AQS,.,7,31,,
11/17/2023,60,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,49,13,60,
11/17/2024,50,PM2.5,East HS,39-153-0017,AQS,.,12,50,,
11/18/2023,29,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,29,.,18,
11/18/2024,63,PM2.5,East HS,39-153-0017,AQS,.,21,63,,
11/19/2023,29,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,29,.,18,
11/19/2024,59,PM2.5,East HS,39-153-0017,AQS,.,19,59,,
11/20/2023,30,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,30,2,20,
11/20/2024,36,PM2.5,East HS,39-153-0017,AQS,.,9,36,,
11/21/2023,32,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,32,.,24,
11/21/2024,20,PM2.5,East HS,39-153-0017,AQS,.,6,20,,
11/22/2023,33,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,33,.,23,
11/22/2024,21,PM2.5,East HS,39-153-0017,AQS,.,5,21,,
11/23/2023,27,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,27,2,22,
11/23/2024,11,PM2.5,East HS,39-153-0017,AQS,.,3,11,,
11/24/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,15,
11/24/2024,52,PM2.5,East HS,39-153-0017,AQS,.,13,52,,
11/25/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,21,
11/25/2024,49,PM2.5,East HS,39-153-0017,AQS,.,14,49,,
11/26/2023,36,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,36,5,33,
11/26/2024,32,PM2.5,East HS,39-153-0017,AQS,.,8,32,,
11/27/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,34,.,17,
11/27/2024,34,PM2.5,East HS,39-153-0017,AQS,.,11,34,,
11/28/2023,32,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,32,.,14,
11/28/2024,31,PM2.5,East HS,39-153-0017,AQS,.,6,31,,
11/29/2023,32,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,0,32,.,21,
11/29/2024,38,PM2.5,East HS,39-153-0017,AQS,.,10,38,,
11/30/2023,53,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,0,36,.,53,
11/30/2024,42,PM2.5,East HS,39-153-0017,AQS,.,12,42,,
12/13/2023,38,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,38,.,16,
12/13/2024,36,PM2.5,East HS,39-153-0017,AQS,.,18,36,,
12/14/2023,37,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,37,2,20,
12/14/2024,59,PM2.5,East HS,39-153-0017,AQS,.,16,59,,
12/15/2023,57,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,34,.,57,
12/15/2024,45,PM2.5,East HS,39-153-0017,AQS,.,11,45,,
12/16/2023,49,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,37,.,49,
12/16/2024,26,PM2.5,East HS,39-153-0017,AQS,.,7,26,,
12/17/2023,39,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,39,3,32,
12/17/2024,43,PM2.5,East HS,39-153-0017,AQS,.,12,43,,
12/18/2023,42,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,42,.,13,
12/18/2024,62,PM2.5,East HS,39-153-0017,AQS,.,19,62,,
12/19/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,34,.,11,
12/19/2024,43,PM2.5,East HS,39-153-0017,AQS,.,10,43,,
12/20/2023,32,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,32,5,30,
12/20/2024,56,PM2.5,East HS,39-153-0017,AQS,.,12,56,,
12/21/2023,33,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,33,.,16,
12/21/2024,12,PM2.5,East HS,39-153-0017,AQS,.,4,12,,
12/22/2023,34,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,34,.,27,
12/22/2024,34,PM2.5,East HS,39-153-0017,AQS,.,14,34,,
12/23/2023,51,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,36,9,51,
12/23/2024,43,PM2.5,East HS,39-153-0017,AQS,.,16,43,,
12/24/2023,55,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,29,.,55,
12/24/2024,57,PM2.5,East HS,39-153-0017,AQS,.,14,57,,
12/25/2023,59,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,33,.,59,
12/25/2024,62,PM2.5,East HS,39-153-0017,AQS,.,18,62,,
12/26/2023,48,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,37,6,48,
12/26/2024,52,PM2.5,East HS,39-153-0017,AQS,.,13,52,,
12/27/2023,55,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,34,.,55,
12/27/2024,55,PM2.5,East HS,39-153-0017,AQS,.,18,55,,
12/28/2023,43,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,21,.,43,
12/28/2024,31,PM2.5,East HS,39-153-0017,AQS,.,9,31,,
12/29/2023,22,PM2.5,City of Burlington Parking Lot,50-007-0014,AQS,.,18,0,22,
12/29/2024,22,PM2.5,East HS,39-153-0017,AQS,.,6,22,,
12/30/2023,28,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,28,.,18,
12/30/2024,24,PM2.5,East HS,39-153-0017,AQS,.,6,24,,
12/31/2023,30,Ozone,PROCTOR MAPLE RESEARCH CTR,50-007-0007,AQS,.,30,.,20,
12/31/2024,32,PM2.5,East HS,39-153-0017,AQS,.,8,32,,